freq,life_sat,statinfo,isced11,sex,age,unit,geo,2013,2018,2022
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,AT,8.7,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,BE,8,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,BG,6,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,CH,8.5,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,CY,8.3,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,CZ,6.8,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,DE,7.9,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,DK,9,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,EE,7.9,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,EL,6.7,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,ES,7.4,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,EU27_2020,7.7,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,FI,8.7,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,FR,8.3,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,HR,6.9,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,HU,6.9,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,IE,7.1,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,IS,8.9,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,IT,7.4,,
A,ACCOM,AVG,ED0-2,F,Y16-19,RTG,LT,8.1,,
